Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
10/18/20,Sheffield United,Fulham,,,,,46.67,42.11,1.54,1.8,47,25.64,26.67,74.36,73.33,25,75,5,9,1,0.556
10/18/20,Fulham,Sheffield United,,,,,25.64,26.67,1.11,0.6,25,46.67,42.11,53.33,57.89,47,53,6,14,1,0.429
10/18/20,Crystal Palace,Brighton,,,,,35.14,33.33,1.33,1.6,38,35.56,30.77,64.44,69.23,34,66,0,0,1,0
10/18/20,Brighton,Crystal Palace,,,,,35.56,30.77,1.33,0.9,34,35.14,33.33,64.86,66.67,38,62,3,17,1,0.176
10/18/20,Tottenham,West Ham,,,,,61.11,38.1,2.01,2.6,55,17.39,14.29,82.61,85.71,22,78,6,11,3,0.545
10/18/20,West Ham,Tottenham,,,,,17.39,14.29,1.21,0.4,22,61.11,38.1,38.89,61.9,55,45,4,13,3,0.308
10/18/20,Leicester,Aston Villa,,,,,46.43,30.77,1.81,2.3,54,27.03,18.18,72.97,81.82,23,77,5,11,0,0.455
10/18/20,Aston Villa,Leicester,,,,,27.03,18.18,1.36,0.7,23,46.43,30.77,53.57,69.23,54,46,4,10,1,0.4
10/19/20,West Brom,Burnley,,,,,38.46,33.33,1.43,1.6,33,33.33,29.41,66.67,70.59,39,61,6,13,0,0.462
10/19/20,Burnley,West Brom,,,,,33.33,29.41,1.28,1,39,38.46,33.33,61.54,66.67,33,67,4,9,0,0.444
10/19/20,Leeds,Wolves,,,,,39.29,30.77,1.42,1.4,33,32.76,28.57,67.24,71.43,39,61,2,13,0,0.154
10/19/20,Wolves,Leeds,,,,,32.76,28.57,1.33,1.2,39,39.29,30.77,60.71,69.23,33,67,3,7,1,0.429
10/23/20,Aston Villa,Leeds,,,,,42.11,29.41,1.63,1.4,52,32.26,23.08,67.74,76.92,23,77,3,12,0,0.25
10/23/20,Leeds,Aston Villa,,,,,32.26,23.08,1.43,1.3,23,42.11,29.41,57.89,70.59,52,48,9,28,3,0.321
10/24/20,West Ham,Man City,,,,,12.5,9.09,1.16,0.2,16,70.59,38.1,29.41,61.9,65,35,2,6,1,0.333
10/24/20,Man City,West Ham,,,,,70.59,38.1,2.29,3.5,65,12.5,9.09,87.5,90.91,16,84,7,14,1,0.5
10/24/20,Fulham,Crystal Palace,,,,,35.29,33.33,1.33,0.9,39,35.14,33.33,64.86,66.67,33,67,3,16,1,0.188
10/24/20,Crystal Palace,Fulham,,,,,35.14,33.33,1.33,1.7,33,35.29,33.33,64.71,66.67,39,61,10,14,2,0.714
10/24/20,Man United,Chelsea,,,,,41.38,26.67,1.7,1.8,42,33.33,22.22,66.67,77.78,34,66,4,14,0,0.286
10/24/20,Chelsea,Man United,,,,,33.33,22.22,1.54,1.3,34,41.38,26.67,58.62,73.33,42,58,1,6,0,0.167
10/24/20,Liverpool,Sheffield United,,,,,79.17,54.55,2.39,3.6,80,7.69,7.69,92.31,92.31,6,94,5,17,2,0.294
10/24/20,Sheffield United,Liverpool,,,,,7.69,7.69,0.83,0,6,79.17,54.55,20.83,45.45,80,20,1,12,1,0.083
10/25/20,Southampton,Everton,,,,,34.78,26.67,1.49,0.9,36,38.46,26.67,61.54,73.33,38,62,6,12,2,0.5
10/25/20,Everton,Southampton,,,,,38.46,26.67,1.54,1.8,38,34.78,26.67,65.22,73.33,36,64,2,6,0,0.333
10/25/20,Wolves,Newcastle,,,,,55.17,47.62,1.63,2.2,52,18.18,23.08,81.82,76.92,21,79,4,16,1,0.25
10/25/20,Newcastle,Wolves,,,,,18.18,23.08,0.96,0.6,21,55.17,47.62,44.83,52.38,52,48,2,5,1,0.4
