Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,Avg_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
8/30/20,Miami,Nashville,11.17,7.5,3.67,3.83,34.48,28.85,1.34,1.6,1.47,43,41.67,32.76,58.33,67.24,30,70,5,18,0,0.278
8/30/20,Seattle,LAFC,12.67,11.33,4,4.5,46.51,20,1.47,1.1,1.285,33,48.78,27.78,51.22,72.22,45,55,3,10,3,0.3
8/30/20,LAFC,Seattle,18.17,9.67,7.5,4.33,48.78,27.78,1.6,2,1.8,45,46.51,20,53.49,80,33,67,4,10,1,0.4
9/1/20,Toronto,Montreal,13.63,13.14,5.75,3.57,68.75,47.62,2.05,2.8,2.425,60,13.7,16.67,86.3,83.33,18,82,6,20,0,0.3
9/1/20,Montreal,Toronto,8.29,7.13,2.71,2.88,13.7,16.67,0.98,0.3,0.64,18,68.75,47.62,31.25,52.38,60,40,3,10,1,0.3
9/2/20,Atlanta,Miami,11,11.71,3.86,3.86,45.83,30.3,1.74,2.2,1.97,41,29.9,22.22,70.1,77.78,32,68,1,6,0,0.167
9/2/20,Miami,Atlanta,12.14,13,3.86,3.57,29.9,22.22,1.43,0.8,1.115,32,45.83,30.3,54.17,69.7,41,59,3,11,0,0.273
9/2/20,NY Red Bulls,DC United,10.25,13.88,3.87,4.88,56,37.04,1.83,2.2,2.015,48,17.39,19.05,82.61,80.95,27,73,4,17,0,0.235
9/2/20,DC United,NY Red Bulls,9.25,10.75,3.12,3.5,17.39,19.05,1.24,0.8,1.02,27,56,37.04,44,62.96,48,52,3,5,1,0.6
44076,Columbus,Philadelphia,9.38,11.13,3.87,5.125,47.22,33.33,1.7,1.8,1.75,41,27.78,23.08,72.22,76.92,31,69,5,12,1,0.42
9/2/20,Philadelphia,Columbus,11.63,8.75,4.25,2.88,27.78,23.08,1.36,1,1.18,31,47.22,33.33,52.78,66.67,41,59,4,14,0,0.286
9/2/20,Cincinnati,Chicago,8,10.75,2.75,3.25,30.3,23.08,1.36,1.2,1.28,36,45.83,31.25,54.17,68.75,49,51,3,13,0,0.231
9/2/20,Chicago,Cincinnati,13.88,10.13,4.37,4.38,45.83,31.25,1.63,1.6,1.615,49,30.3,23.08,69.7,76.92,36,64,1,8,0,0.125
9/2/20,New England,NYCFC,14.63,11.13,4.12,5.25,41.38,27.78,1.63,1.7,1.665,37,34.48,25,65.52,75,37,63,3,15,0,0.2
9/2/20,NYCFC,New England,13.63,10.38,4.37,4.25,34.48,25,1.49,1.2,1.345,37,41.38,27.78,58.62,72.22,37,63,5,11,2,0.455
9/2/20,Houston,Minnesota,14,14.14,4.14,3.86,39.62,26.32,1.7,1.6,1.65,40,36.36,25,63.64,75,36,64,11,21,3,0.524
9/2/20,Minnesota,Houston,12.71,12.86,4.86,4.57,36.36,25,1.63,1.3,1.465,36,39.62,26.32,60.38,73.68,40,60,4,13,0,0.308
9/2/20,Nashville,Orlando,13.29,9.5,4.29,4,35.71,42.55,1.46,1.1,1.28,32,39.29,44.44,60.71,55.56,41,59,4,8,1,0.5
9/2/20,Orlando,Nashville,11.75,9,4.75,4,39.29,44.44,1.48,1.6,1.54,41,35.71,42.55,64.29,57.45,32,68,3,7,1,0.429
9/2/20,Sporting KC,Dallas,13.13,15.17,4.5,4.33,57.14,37.04,1.93,2.1,2.015,45,20,18.18,80,81.82,31,69,3,22,1,0.136
9/2/20,Dallas,Sporting KC,11.67,8.88,4,3.5,20,18.18,1.24,1,1.12,31,57.14,37.04,42.86,62.96,45,55,5,5,1,1
9/2/20,Real Salt Lake,Seattle,13.14,9.71,4,4.29,40.91,29.41,1.62,1.6,1.61,38,33.93,26.32,66.07,73.68,34,66,4,12,2,0.333
9/2/20,Seattle,Real Salt Lake,12.29,10.71,3.86,3.14,33.93,26.32,1.49,1.2,1.345,34,40.91,29.41,59.09,70.59,38,62,2,4,2,0.5
9/2/20,Portland,LA Galaxy,10.71,10.86,4.29,4.71,48.28,29.41,1.83,2,1.915,37,28.57,20,71.43,80,42,58,3,17,2,0.176
9/2/20,LA Galaxy,Portland,11.29,13.43,4.29,4.29,28.57,20,1.62,1,1.31,42,48.28,29.41,51.72,70.59,37,63,7,15,3,0.467
9/2/20,LAFC,San Jose,17,15.5,7,5.33,61.11,33.33,2.22,2.8,2.51,62,20,14.29,80,85.71,20,80,8,20,5,0.4
9/2/20,San Jose,LAFC,16.17,11.14,5.83,4.29,20,14.29,1.42,0.7,1.06,20,61.11,33.33,38.89,66.67,62,38,2,9,1,0.222
9/5/20,Houston,Sporting KC,14.88,8.4,5.12,3.67,38.46,25,1.7,1.9,1.8,40,38.46,25,61.54,75,36,64,6,9,2,0.667
9/5/20,Sporting KC,Houston,14.11,12.88,4.33,4.5,38.46,25,1.7,1.3,1.5,36,38.46,25,61.54,75,40,60,3,11,1,0.273
